SKU,Description,Extended Descriptions,Department,Category,MSRP,Supplier,SupplierCost,Reordernumber,Default Price,Default Cost,Size,Color,Team,Syncode 1 (Product Line),Barcode Number,Style,League,Series/Sport,Royalty Class,Season,Driver/Player Marks,Car/Player #,Sponsor,Year,Event/Program Marks,Owner,NTP Code,Royalty Code,Brand,Country Origin,Royalty Free,ParentLocation,ImportToAllLocations,BarcodeType,Taxable,ImportCompleted,SpecialInstructions,LocationKey,TaxGroup,ReplyTo
,SPTR N PASSPORT,,HARDGOODS,SOCKS,$35.00 ,NoSupplier,$8.95 ,PASS,$35.00 ,$8.95 ,,,San Francisco Giants,Inherited,36964,SPTR N PASSPORT,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD NORCAL SF TRUE F/Z,,MENS,SS TEES,$85.00 ,NoSupplier,$32.50 ,NHS,$85.00 ,$32.50 ,L,BLK,San Francisco Giants,Inherited,30255,HOOD NORCAL SF TRUE F/Z,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC LOGO HD,,MENS,SS TEES,$49.00 ,NoSupplier,$19.99 ,GRA,$49.00 ,$19.99 ,XXL,ORG,San Francisco Giants,Inherited,24981,CLASSIC LOGO HD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC LOGO HD,,MENS,SS TEES,$,NoSupplier,$19.99 ,GRA,$49.00 ,$19.99 ,XL,ORG,San Francisco Giants,Inherited,3592,CLASSIC LOGO HD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD NORCAL SF TRUE F/Z,,MENS,SS TEES,$85.00 ,NoSupplier,$32.50 ,NHS,$85.00 ,$32.50 ,XL,BLK,San Francisco Giants,Inherited,10312,HOOD NORCAL SF TRUE F/Z,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW CLASSIC SF,,MENS,SS TEES,$29.99 ,NoSupplier,$-,GRA,$29.99 ,$20.00 ,XL,GRAPHITE,San Francisco Giants,Inherited,27469,CREW CLASSIC SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD NORCAL SF TRUE F/Z,,MENS,SS TEES,$85.00 ,NoSupplier,$32.50 ,NHS,$85.00 ,$32.50 ,M,BLK,San Francisco Giants,Inherited,4840,HOOD NORCAL SF TRUE F/Z,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD NORCAL SF TRUE F/Z,,MENS,SS TEES,$85.00 ,NoSupplier,$33.50 ,NHS,$85.00 ,$33.50 ,XXL,BLK,San Francisco Giants,Inherited,44607,HOOD NORCAL SF TRUE F/Z,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC LOGO HD,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,XXL,BLK,San Francisco Giants,Inherited,7352,CLASSIC LOGO HD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD NORCAL SF TRUE P/O,,MENS,SS TEES,$65.00 ,NoSupplier,$25.00 ,NHS,$-,$-,XL,BLK,San Francisco Giants,Inherited,16974,HOOD NORCAL SF TRUE P/O,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC LOGO HD,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,M,BLK,San Francisco Giants,Inherited,10313,CLASSIC LOGO HD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
