SKU,Description,Extended Descriptions,Department,Category,MSRP,Supplier,SupplierCost,Reordernumber,Default Price,Default Cost,Size,Color,Team,Syncode 1 (Product Line),Barcode Number,Style,League,Series/Sport,Royalty Class,Season,Driver/Player Marks,Car/Player #,Sponsor,Year,Event/Program Marks,Owner,NTP Code,Royalty Code,Brand,Country Origin,Royalty Free,SpecialInstructions,ReplyTo
IT-0138397,TXL M Game Jersey #32-ORG-S,,,,,,,35096X32H,,,,,,,,,,,,,,32,,,,,,,,,,,jludena@ptpos.com
IT-0138398,TXL M Game Jersey #32-ORG-M,,,,,,,35096X32H,,,,,,,,,,,,,,32,,,,,,,,,,,jludena@ptpos.com
IT-0138399,TXL M Game Jersey #32-ORG-L,,,,,,,35096X32H,,,,,,,,,,,,,,32,,,,,,,,,,,jludena@ptpos.com
IT-0138400,TXL M Game Jersey #32-ORG-XL,,,,,,,35096X32H,,,,,,,,,,,,,,32,,,,,,,,,,,jludena@ptpos.com
IT-0138401,TXL M Game Jersey #32-ORG-2X,,,,,,,35096X32H,,,,,,,,,,,,,,32,,,,,,,,,,,jludena@ptpos.com
IT-0138401,,,,,,,,GETTY_627451352,,,,,,,,,,,,,,,,,,,,,,,,,jludena@ptpos.com
IT-0213951,,,,,,test,99,GETTY_627451352,,,,,,,,,,,,,,,,,,,,,,,,,jludena@ptpos.com
IT-0213952,,,,,,,,GETTY_627451352,,,,,,,,,,,,,,,,,,,,,,,,,jludena@ptpos.com
IT-0213953,,,,,,,,GETTY_627451352,,,,,,,,,,,,,,,,,,,,,,,,,jludena@ptpos.com
IT-0213954,,,,,,,,GETTY_627451352,,,,,,,,,,,,,,,,,,,,,,,,,jludena@ptpos.com
IT-0213955,,,,,,,,GETTY_457079024,,,,,,,,,,,,,,,,,,,,,,,,,jludena@ptpos.com
IT-0213956,,,,,,,,GETTY_457079024,,,,,,,,,,,,,,,,,,,,,,,,,jludena@ptpos.com
IT-0213957,,,,,,,,GETTY_457079024,,,,,,,,,,,,,,,,,,,,,,,,,jludena@ptpos.com
IT-0213958,,,,,,,,GETTY_457079024,,,,,,,,,,,,,,,,,,,,,,,,,jludena@ptpos.com
IT-0213959,,,,,,,,GETTY_457079024,,,,,,,,,,,,,,,,,,,,,,,,,jludena@ptpos.com
